epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,24.6996,0.97565,0.55363,0.65097,0.72183,0.93641,0.01667,1,0.01809,0.00724,0.17415,1,0.33167,0.199,3.15709,1.78803,0.65055,3.09402,2.48378,0.0004832,0.0004832,0.0004832
42,25.2055,1.39495,0.77059,0.6342,0.96233,0.93231,0.01667,1,0.01809,0.00724,0.17415,1,0.33167,0.199,3.15709,1.78803,0.65055,3.09402,2.48378,0.000487162,0.000487162,0.000487162
43,25.809,1.02639,0.47013,0.55491,0.75491,0.99555,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.27591,1.86338,0.65725,3.15353,2.76451,0.000490728,0.000490728,0.000490728
44,26.3203,0.72065,0.26389,0.55587,0.67706,0.89143,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.27591,1.86338,0.65725,3.15353,2.76451,0.000493898,0.000493898,0.000493898
45,26.9026,1.76345,2.70316,0.67709,1.22221,1.333,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.59325,1.73307,0.61421,2.90389,3.35975,0.000496672,0.000496672,0.000496672
46,27.4185,1.55815,1.72442,0.66534,1.09942,1.30919,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.59325,1.73307,0.61421,2.90389,3.35975,0.00049905,0.00049905,0.00049905
47,27.951,1.02682,0.33223,0.56986,0.80572,1.06744,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.8112,1.70048,0.60493,2.9746,3.66029,0.000501032,0.000501032,0.000501032
48,28.4599,1.05688,1.3641,0.71596,1.31873,1.08375,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.8112,1.70048,0.60493,2.9746,3.66029,0.000502618,0.000502618,0.000502618
49,29.0445,1.23789,0.41671,0.60427,1.1562,1.21412,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.24971,1.7275,0.6224,3.72928,3.14364,0.000503808,0.000503808,0.000503808
50,29.5656,0.92636,0.63397,0.56243,0.63391,1.14388,0.02,1,0.09045,0.00905,0.10934,1,0.199,0.12562,3.24971,1.7275,0.6224,3.72928,3.14364,0.000504602,0.000504602,0.000504602
51,30.116,1.31128,0.71722,0.60049,0.73326,1.19242,0.01429,1,0.02764,0.01263,0.01429,1,0.995,0.59976,2.34092,1.63086,0.63987,3.79312,2.43362,0.000505,0.000505,0.000505
52,30.6487,0.70749,0.65476,0.56902,0.78789,1.01806,0.01429,1,0.02764,0.01263,0.01429,1,0.995,0.59976,2.34092,1.63086,0.63987,3.79312,2.43362,0.000505002,0.000505002,0.000505002
53,31.2062,1.20092,0.87849,0.69181,0.82958,1.07625,0.01429,1,0.02764,0.01263,0.01429,1,0.995,0.59976,2.34092,1.63086,0.63987,3.79312,2.43362,0.000504608,0.000504608,0.000504608
54,31.7563,1.04094,0.80439,0.66897,0.86074,1.01076,0.01205,1,0.01605,0.00746,0.01205,1,0.4975,0.3001,2.67473,1.57082,0.6382,3.90329,2.54044,0.000503818,0.000503818,0.000503818
55,32.2796,1.12614,0.63894,0.54136,0.78415,1.0363,0.01205,1,0.01605,0.00746,0.01205,1,0.4975,0.3001,2.67473,1.57082,0.6382,3.90329,2.54044,0.000502632,0.000502632,0.000502632
56,32.7904,0.79829,0.41361,0.6462,0.76479,1.03343,0.01205,1,0.01605,0.00746,0.01205,1,0.4975,0.3001,2.67473,1.57082,0.6382,3.90329,2.54044,0.00050105,0.00050105,0.00050105
57,33.389,0.96047,0.52723,0.6321,0.76749,0.9303,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.4181,1.49907,0.61531,3.70993,2.84188,0.000499072,0.000499072,0.000499072
58,33.9192,0.96176,0.39116,0.54347,0.70773,1.03496,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.4181,1.49907,0.61531,3.70993,2.84188,0.000496698,0.000496698,0.000496698
59,34.4301,0.90036,0.47648,0.62671,0.69094,1.03419,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.4181,1.49907,0.61531,3.70993,2.84188,0.000493928,0.000493928,0.000493928
60,34.9714,1.02924,0.53891,0.54897,0.73128,1.11695,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.52671,1.44753,0.61338,3.70957,2.96117,0.000490762,0.000490762,0.000490762
61,35.52,0.97177,0.32029,0.59376,0.74438,1.18886,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.52671,1.44753,0.61338,3.70957,2.96117,0.0004872,0.0004872,0.0004872
62,36.1428,1.13619,0.44262,0.51974,0.72187,1.06827,0.01389,1,0.02117,0.00635,0.01389,1,0.4975,0.30283,3.52671,1.44753,0.61338,3.70957,2.96117,0.000483242,0.000483242,0.000483242
63,36.7946,0.89132,0.52844,0.54787,0.61451,0.97116,0.02941,1,0.04146,0.01244,0.02941,1,0.4975,0.30265,3.17188,1.44393,0.65068,3.90646,2.88587,0.000478888,0.000478888,0.000478888
64,37.3414,0.95065,0.40631,0.58138,0.71994,1.19499,0.02941,1,0.04146,0.01244,0.02941,1,0.4975,0.30265,3.17188,1.44393,0.65068,3.90646,2.88587,0.000474138,0.000474138,0.000474138
65,37.9157,1.3837,0.40126,0.61809,1.23138,1.15361,0.02941,1,0.04146,0.01244,0.02941,1,0.4975,0.30265,3.17188,1.44393,0.65068,3.90646,2.88587,0.000468992,0.000468992,0.000468992
66,38.515,1.16367,0.34191,0.6038,0.94588,1.16183,0.03704,1,0.16583,0.04975,0.03704,1,0.4975,0.31508,2.94527,1.47126,0.67024,3.6873,2.68728,0.00046345,0.00046345,0.00046345
67,39.0957,0.9677,0.29272,0.61254,0.76509,1.02007,0.03704,1,0.16583,0.04975,0.03704,1,0.4975,0.31508,2.94527,1.47126,0.67024,3.6873,2.68728,0.000457512,0.000457512,0.000457512
68,39.6834,0.9264,0.43531,0.53139,0.72651,0.93633,0.03704,1,0.16583,0.04975,0.03704,1,0.4975,0.31508,2.94527,1.47126,0.67024,3.6873,2.68728,0.000451178,0.000451178,0.000451178
69,40.222,1.37298,0.21968,0.55083,1.23022,1.25151,0.04348,1,0.4975,0.11816,0.04348,1,0.4975,0.34825,2.5448,1.51836,0.62332,3.47367,2.42547,0.000444448,0.000444448,0.000444448
70,40.7556,0.69271,0.2979,0.48325,0.64505,0.97992,0.04348,1,0.4975,0.11816,0.04348,1,0.4975,0.34825,2.5448,1.51836,0.62332,3.47367,2.42547,0.000437322,0.000437322,0.000437322
71,41.2746,0.86281,0.29888,0.52567,0.89414,1.02409,0.04348,1,0.4975,0.11816,0.04348,1,0.4975,0.34825,2.5448,1.51836,0.62332,3.47367,2.42547,0.0004298,0.0004298,0.0004298
72,41.8679,1.57442,0.30917,0.5225,0.9992,1.44773,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,2.77185,1.63248,0.61237,3.57262,2.44694,0.000421882,0.000421882,0.000421882
73,42.3745,0.90259,0.64337,0.55568,0.63882,1.05821,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,2.77185,1.63248,0.61237,3.57262,2.44694,0.000413568,0.000413568,0.000413568
74,42.8716,1.32153,1.06535,0.40683,0.9423,1.41333,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,2.77185,1.63248,0.61237,3.57262,2.44694,0.000404858,0.000404858,0.000404858
75,43.3956,1.14716,0.43906,0.4902,0.75522,1.30748,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,3.22452,1.506,0.57583,3.66378,2.58668,0.000395752,0.000395752,0.000395752
76,43.9639,1.0573,0.69693,1.06024,1.0317,1.10357,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,3.22452,1.506,0.57583,3.66378,2.58668,0.00038625,0.00038625,0.00038625
77,44.4653,0.65763,0.26739,0.53232,0.52906,0.98622,0.04545,1,0.09045,0.04523,0.04545,1,0.4975,0.34825,3.22452,1.506,0.57583,3.66378,2.58668,0.000376352,0.000376352,0.000376352
78,45.005,1.15709,0.72862,0.52708,0.96719,1.0279,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.17426,1.57527,0.56877,3.93483,2.69306,0.000366058,0.000366058,0.000366058
79,45.5269,0.62828,0.24274,0.83475,0.54439,1.03149,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.17426,1.57527,0.56877,3.93483,2.69306,0.000355368,0.000355368,0.000355368
80,46.1479,0.9733,0.41532,0.4877,0.64222,1.00588,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.17426,1.57527,0.56877,3.93483,2.69306,0.000344282,0.000344282,0.000344282
81,46.7523,1.10431,0.7197,0.51096,0.86295,1.02868,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.24149,1.60558,0.55945,4.12614,2.8731,0.0003328,0.0003328,0.0003328
82,47.3276,1.13429,0.4942,0.59406,0.70891,0.97834,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.24149,1.60558,0.55945,4.12614,2.8731,0.000320922,0.000320922,0.000320922
83,48.1039,0.95493,0.55026,0.61303,0.69458,1.06889,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.24149,1.60558,0.55945,4.12614,2.8731,0.000308648,0.000308648,0.000308648
84,48.6804,0.95769,0.35971,0.57066,0.59093,1.0276,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.55935,1.51988,0.51409,3.95708,2.98051,0.000295978,0.000295978,0.000295978
85,49.2095,0.69736,0.26521,0.68516,0.65923,1.11024,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.55935,1.51988,0.51409,3.95708,2.98051,0.000282912,0.000282912,0.000282912
86,49.7132,0.77748,0.2558,0.66395,0.58838,1.01981,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.55935,1.51988,0.51409,3.95708,2.98051,0.00026945,0.00026945,0.00026945
87,50.3281,0.83179,0.31018,0.48883,0.66776,1.12668,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.55935,1.51988,0.51409,3.95708,2.98051,0.000255592,0.000255592,0.000255592
88,51.072,1.09229,0.2446,0.78711,1.00729,1.01892,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.64328,1.59463,0.52621,4.09681,3.01409,0.000241338,0.000241338,0.000241338
89,51.8335,0.78541,0.33541,0.61647,0.62623,0.9965,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.64328,1.59463,0.52621,4.09681,3.01409,0.000226688,0.000226688,0.000226688
90,52.3399,1.22058,0.13214,0.64393,0.81421,1.07544,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.64328,1.59463,0.52621,4.09681,3.01409,0.000211642,0.000211642,0.000211642
91,53.1595,0.54791,0.4074,0.58006,0.6089,0.95711,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.64328,1.59463,0.52621,4.09681,3.01409,0.0001962,0.0001962,0.0001962
92,53.8653,0.79586,0.39039,0.55747,0.70598,0.91551,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.9981,1.50441,0.51044,3.45713,3.12394,0.000180362,0.000180362,0.000180362
93,54.4055,0.71136,0.3028,0.44019,0.56967,0.91276,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.9981,1.50441,0.51044,3.45713,3.12394,0.000164128,0.000164128,0.000164128
94,54.9537,0.77033,0.55676,0.54286,0.60786,1.00716,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.9981,1.50441,0.51044,3.45713,3.12394,0.000147498,0.000147498,0.000147498
95,55.4818,0.98461,0.43197,0.44546,0.66639,1.06059,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,3.9981,1.50441,0.51044,3.45713,3.12394,0.000130472,0.000130472,0.000130472
96,56.0896,0.919,0.57897,0.39634,0.63867,0.92588,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,4.15921,1.41448,0.50712,3.07516,3.2701,0.00011305,0.00011305,0.00011305
97,56.5987,0.97933,0.62422,0.70151,0.56927,1.02922,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,4.15921,1.41448,0.50712,3.07516,3.2701,9.5232e-05,9.5232e-05,9.5232e-05
98,57.1045,0.80903,0.45172,0.64081,0.66487,0.87545,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,4.15921,1.41448,0.50712,3.07516,3.2701,7.7018e-05,7.7018e-05,7.7018e-05
99,57.6099,0.79321,0.40194,0.49159,0.65174,0.99219,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,4.15921,1.41448,0.50712,3.07516,3.2701,5.8408e-05,5.8408e-05,5.8408e-05
100,58.2133,1.1508,0.5538,0.55485,0.66514,0.88506,0.05263,1,0.05237,0.01047,0.05263,1,0.995,0.6965,4.18536,1.36287,0.51438,3.02712,3.32266,3.9402e-05,3.9402e-05,3.9402e-05
